Subsistema,Week of Data Escala de Tempo 1 CMO,Data do Incio da Semana Din Instante CMO,Data Escala de Tempo 1 CMO,Período Exibido CMO,Texto Data do Incio da Semana Din Instante CMO,Média Semanal
Sudeste/Centro-Oeste,03/25/2017,03/31/2017,03/25/2017,Semana Operativa, a ,221.01
Sudeste/Centro-Oeste,04/01/2017,04/07/2017,04/01/2017,Semana Operativa, a ,420.28
Sudeste/Centro-Oeste,04/08/2017,04/14/2017,04/08/2017,Semana Operativa, a ,351.2799
Sudeste/Centro-Oeste,04/15/2017,04/21/2017,04/15/2017,Semana Operativa, a ,344.16
Sudeste/Centro-Oeste,04/22/2017,04/28/2017,04/22/2017,Semana Operativa, a ,324.65
Sudeste/Centro-Oeste,04/29/2017,05/05/2017,04/29/2017,Semana Operativa, a ,452.41
Sudeste/Centro-Oeste,05/06/2017,05/12/2017,05/06/2017,Semana Operativa, a ,461.1
Sudeste/Centro-Oeste,05/13/2017,05/19/2017,05/13/2017,Semana Operativa, a ,471.84
Sudeste/Centro-Oeste,05/20/2017,05/26/2017,05/20/2017,Semana Operativa, a ,468.54
Sudeste/Centro-Oeste,05/27/2017,06/02/2017,05/27/2017,Semana Operativa, a ,104.4
Sudeste/Centro-Oeste,06/03/2017,06/09/2017,06/03/2017,Semana Operativa, a ,91.73
Sudeste/Centro-Oeste,06/10/2017,06/16/2017,06/10/2017,Semana Operativa, a ,80.38
Sudeste/Centro-Oeste,06/17/2017,06/23/2017,06/17/2017,Semana Operativa, a ,119.64
Sudeste/Centro-Oeste,06/24/2017,06/30/2017,06/24/2017,Semana Operativa, a ,155.19
Sudeste/Centro-Oeste,07/01/2017,07/07/2017,07/01/2017,Semana Operativa, a ,230.24
Sudeste/Centro-Oeste,07/08/2017,07/14/2017,07/08/2017,Semana Operativa, a ,253.57
Sudeste/Centro-Oeste,07/15/2017,07/21/2017,07/15/2017,Semana Operativa, a ,270.71
Sudeste/Centro-Oeste,07/22/2017,07/28/2017,07/22/2017,Semana Operativa, a ,273.23
Sudeste/Centro-Oeste,07/29/2017,08/04/2017,07/29/2017,Semana Operativa, a ,514.12
Sudeste/Centro-Oeste,08/05/2017,08/11/2017,08/05/2017,Semana Operativa, a ,549.19
Sudeste/Centro-Oeste,08/12/2017,08/18/2017,08/12/2017,Semana Operativa, a ,519.4299
Sudeste/Centro-Oeste,08/19/2017,08/25/2017,08/19/2017,Semana Operativa, a ,505.86
Sudeste/Centro-Oeste,08/26/2017,09/01/2017,08/26/2017,Semana Operativa, a ,445.86
Sudeste/Centro-Oeste,09/02/2017,09/08/2017,09/02/2017,Semana Operativa, a ,489.85
Sudeste/Centro-Oeste,09/09/2017,09/15/2017,09/09/2017,Semana Operativa, a ,599.9
Sudeste/Centro-Oeste,09/16/2017,09/22/2017,09/16/2017,Semana Operativa, a ,672.73
Sudeste/Centro-Oeste,09/23/2017,09/29/2017,09/23/2017,Semana Operativa, a ,725.7
Sudeste/Centro-Oeste,09/30/2017,10/06/2017,09/30/2017,Semana Operativa, a ,709.9
Sudeste/Centro-Oeste,10/07/2017,10/13/2017,10/07/2017,Semana Operativa, a ,690.75
Sudeste/Centro-Oeste,10/14/2017,10/20/2017,10/14/2017,Semana Operativa, a ,843.32
Sudeste/Centro-Oeste,10/21/2017,10/27/2017,10/21/2017,Semana Operativa, a ,860.45
Sudeste/Centro-Oeste,10/28/2017,11/03/2017,10/28/2017,Semana Operativa, a ,823.16
Sudeste/Centro-Oeste,11/04/2017,11/10/2017,11/04/2017,Semana Operativa, a ,479.88
Sudeste/Centro-Oeste,11/11/2017,11/17/2017,11/11/2017,Semana Operativa, a ,476.84
Sudeste/Centro-Oeste,11/18/2017,11/24/2017,11/18/2017,Semana Operativa, a ,446.07
Sudeste/Centro-Oeste,11/25/2017,12/01/2017,11/25/2017,Semana Operativa, a ,200.71
Sudeste/Centro-Oeste,12/02/2017,12/08/2017,12/02/2017,Semana Operativa, a ,216.24
Sudeste/Centro-Oeste,12/09/2017,12/15/2017,12/09/2017,Semana Operativa, a ,212.42
Sudeste/Centro-Oeste,12/16/2017,12/22/2017,12/16/2017,Semana Operativa, a ,273.61
Sudeste/Centro-Oeste,12/23/2017,12/29/2017,12/23/2017,Semana Operativa, a ,241.14
Sudeste/Centro-Oeste,12/30/2017,01/05/2018,12/30/2017,Semana Operativa, a ,178.62
Sudeste/Centro-Oeste,01/06/2018,01/12/2018,01/06/2018,Semana Operativa, a ,160.1
Sudeste/Centro-Oeste,01/13/2018,01/19/2018,01/13/2018,Semana Operativa, a ,142.22
Sudeste/Centro-Oeste,01/20/2018,01/26/2018,01/20/2018,Semana Operativa, a ,172.05
Sudeste/Centro-Oeste,01/27/2018,02/02/2018,01/27/2018,Semana Operativa, a ,157.33
Sudeste/Centro-Oeste,02/03/2018,02/09/2018,02/03/2018,Semana Operativa, a ,163.2
Sudeste/Centro-Oeste,02/10/2018,02/16/2018,02/10/2018,Semana Operativa, a ,150.57
