MAX MIN 1 ENAS Simp 4,Measure Names,MIN MAX 1 ENAS Simp 4,Month of Data Escala de Tempo 1 ENAS Simp 4,Data do Incio da Semana Din Instante ENAS Simp 4,Data Escala de Tempo 1 ENAS Simp 4,Período Exibido ENAS,Subsistema,Texto Data Incio da Semana Din Instante ENAS,Selecione Tipo de ENAS Simp 4
5/7/2013,Selecione Tipo de ENAS Simp 4,4/25/2013,May 2013,,5/1/2013 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,30809
4/7/2013,Selecione Tipo de ENAS Simp 4,3/26/2013,April 2013,,4/1/2013 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,54285
3/7/2013,Selecione Tipo de ENAS Simp 4,2/23/2013,March 2013,,3/1/2013 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,51912
2/7/2013,Selecione Tipo de ENAS Simp 4,1/26/2013,February 2013,,2/1/2013 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,59842
1/7/2013,Selecione Tipo de ENAS Simp 4,12/26/2012,January 2013,,1/1/2013 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,49195
12/7/2012,Selecione Tipo de ENAS Simp 4,11/25/2012,December 2012,,12/1/2012 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,27463
11/7/2012,Selecione Tipo de ENAS Simp 4,10/26/2012,November 2012,,11/1/2012 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,22914
10/7/2012,Selecione Tipo de ENAS Simp 4,9/25/2012,October 2012,,10/1/2012 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,14962
9/7/2012,Selecione Tipo de ENAS Simp 4,8/26/2012,September 2012,,9/1/2012 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,14559
8/7/2012,Selecione Tipo de ENAS Simp 4,7/26/2012,August 2012,,8/1/2012 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,17076
7/7/2012,Selecione Tipo de ENAS Simp 4,6/25/2012,July 2012,,7/1/2012 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,26180
6/7/2012,Selecione Tipo de ENAS Simp 4,5/26/2012,June 2012,,6/1/2012 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,38037
5/7/2012,Selecione Tipo de ENAS Simp 4,4/25/2012,May 2012,,5/1/2012 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,29561
4/7/2012,Selecione Tipo de ENAS Simp 4,3/26/2012,April 2012,,4/1/2012 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,31815
3/7/2012,Selecione Tipo de ENAS Simp 4,2/24/2012,March 2012,,3/1/2012 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,36630
2/7/2012,Selecione Tipo de ENAS Simp 4,1/26/2012,February 2012,,2/1/2012 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,48934
1/7/2012,Selecione Tipo de ENAS Simp 4,12/26/2011,January 2012,,1/1/2012 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,72789
12/7/2011,Selecione Tipo de ENAS Simp 4,11/25/2011,December 2011,,12/1/2011 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,43984
11/7/2011,Selecione Tipo de ENAS Simp 4,10/26/2011,November 2011,,11/1/2011 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,26897
10/7/2011,Selecione Tipo de ENAS Simp 4,9/25/2011,October 2011,,10/1/2011 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,24796
9/7/2011,Selecione Tipo de ENAS Simp 4,8/26/2011,September 2011,,9/1/2011 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,16470
8/7/2011,Selecione Tipo de ENAS Simp 4,7/26/2011,August 2011,,8/1/2011 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,23879
7/7/2011,Selecione Tipo de ENAS Simp 4,6/25/2011,July 2011,,7/1/2011 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,24105
6/7/2011,Selecione Tipo de ENAS Simp 4,5/26/2011,June 2011,,6/1/2011 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,27812
5/7/2011,Selecione Tipo de ENAS Simp 4,4/25/2011,May 2011,,5/1/2011 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,33385
4/7/2011,Selecione Tipo de ENAS Simp 4,3/26/2011,April 2011,,4/1/2011 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,54629
3/7/2011,Selecione Tipo de ENAS Simp 4,2/23/2011,March 2011,,3/1/2011 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,85632
2/7/2011,Selecione Tipo de ENAS Simp 4,1/26/2011,February 2011,,2/1/2011 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,49524
1/7/2011,Selecione Tipo de ENAS Simp 4,12/26/2010,January 2011,,1/1/2011 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,75724
12/7/2010,Selecione Tipo de ENAS Simp 4,11/25/2010,December 2010,,12/1/2010 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,43939
